run_accession	fastq_ftp	fastq_bytes	library_strategy	sample_title
SRR4457873	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/003/SRR4457873/SRR4457873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/003/SRR4457873/SRR4457873_2.fastq.gz	13858216;13312412	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457876	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457876/SRR4457876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457876/SRR4457876_2.fastq.gz	18687533;19271502	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457877	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/007/SRR4457877/SRR4457877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/007/SRR4457877/SRR4457877_2.fastq.gz	18435751;18134779	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457885	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457885/SRR4457885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457885/SRR4457885_2.fastq.gz	6410054;6578801	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457891	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/001/SRR4457891/SRR4457891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/001/SRR4457891/SRR4457891_2.fastq.gz	17855355;19486323	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457896	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457896/SRR4457896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/006/SRR4457896/SRR4457896_2.fastq.gz	19027106;21358642	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457902	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/002/SRR4457902/SRR4457902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/002/SRR4457902/SRR4457902_2.fastq.gz	17456966;18699237	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457903	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/003/SRR4457903/SRR4457903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/003/SRR4457903/SRR4457903_2.fastq.gz	15627159;17487328	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457904	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457904/SRR4457904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457904/SRR4457904_2.fastq.gz	12427737;14503554	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR3720339	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720339/SRR3720339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720339/SRR3720339_2.fastq.gz	12634071;13925273	AMPLICON	Human sample from Homo sapiens
SRR3720342	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/002/SRR3720342/SRR3720342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/002/SRR3720342/SRR3720342_2.fastq.gz	16214665;18724206	AMPLICON	Human sample from Homo sapiens
SRR3720343	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/003/SRR3720343/SRR3720343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/003/SRR3720343/SRR3720343_2.fastq.gz	15440262;17951475	AMPLICON	Human sample from Homo sapiens
SRR3720344	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/004/SRR3720344/SRR3720344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/004/SRR3720344/SRR3720344_2.fastq.gz	14588905;17315206	AMPLICON	Human sample from Homo sapiens
SRR3720345	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/005/SRR3720345/SRR3720345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/005/SRR3720345/SRR3720345_2.fastq.gz	14231633;15823536	AMPLICON	Human sample from Homo sapiens
SRR3720351	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720351/SRR3720351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720351/SRR3720351_2.fastq.gz	9449710;12237606	AMPLICON	Human sample from Homo sapiens
SRR3720356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/006/SRR3720356/SRR3720356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/006/SRR3720356/SRR3720356_2.fastq.gz	14912045;18820955	AMPLICON	Human sample from Homo sapiens
SRR3720357	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3720357/SRR3720357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3720357/SRR3720357_2.fastq.gz	16214500;20403701	AMPLICON	Human sample from Homo sapiens
SRR3720362	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/002/SRR3720362/SRR3720362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/002/SRR3720362/SRR3720362_2.fastq.gz	10056335;12529423	AMPLICON	Human sample from Homo sapiens
SRR3720363	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/003/SRR3720363/SRR3720363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/003/SRR3720363/SRR3720363_2.fastq.gz	15748596;20434817	AMPLICON	Human sample from Homo sapiens
SRR3720367	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3720367/SRR3720367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3720367/SRR3720367_2.fastq.gz	17377123;26758114	AMPLICON	Human sample from Homo sapiens
SRR3720371	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720371/SRR3720371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720371/SRR3720371_2.fastq.gz	17187184;22537558	AMPLICON	Human sample from Homo sapiens
SRR3720376	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/006/SRR3720376/SRR3720376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/006/SRR3720376/SRR3720376_2.fastq.gz	17097624;19597605	AMPLICON	Human sample from Homo sapiens
SRR3720379	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720379/SRR3720379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720379/SRR3720379_2.fastq.gz	11489099;13040511	AMPLICON	Human sample from Homo sapiens
SRR3720380	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720380/SRR3720380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720380/SRR3720380_2.fastq.gz	7601855;8802184	AMPLICON	Human sample from Homo sapiens
SRR4457864	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457864/SRR4457864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/004/SRR4457864/SRR4457864_2.fastq.gz	14704753;14213945	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457865	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457865/SRR4457865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/005/SRR4457865/SRR4457865_2.fastq.gz	13820338;15809539	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
