name,cv_f1_mean,cv_f1_std,train_f1,overfit_gap
MLP,0.789054606212501,0.06439495000099406,0.8387096774193549,0.04965507120685386
GaussianNB,0.7752642110585306,0.06538034785828588,0.819047619047619,0.04378340798908842
LogisticRegression,0.773669123789867,0.10122869978857402,0.8470588235294118,0.07338969973954479
RandomForest,0.7554952171562752,0.05268205852605684,0.9555555555555556,0.2000603383992804
AdaBoost,0.7373112594320026,0.09707181693358807,1.0,0.2626887405679974
ExtraTrees,0.7288472652218781,0.06199445063793741,0.9318181818181818,0.20297091659630362
GradientBoosting,0.7157407597114153,0.09552076149700042,1.0,0.28425924028858474
KNN,0.7003620857537939,0.06863552489547388,0.8333333333333334,0.1329712475795395
SVC_RBF,0.6981995032830945,0.10477224364858817,0.8604651162790697,0.1622656129959752
DecisionTree,0.6702077176349621,0.13793123010891142,0.85,0.17979228236503786
