name,cv_f1_mean,cv_f1_std,train_f1,overfit_gap
ExtraTrees,0.6316612842495195,0.08914779262710339,0.7610619469026548,0.12940066265313532
MLP,0.6007726153327985,0.1122610860831608,0.7241379310344828,0.1233653157016843
RandomForest,0.6001523640326709,0.10194429437706674,0.8828828828828829,0.28273051885021194
SVC_RBF,0.5769854905159253,0.12472911640910592,0.7288135593220338,0.15182806880610855
LogisticRegression,0.5599794070155626,0.12209980955448,0.7058823529411765,0.14590294592561392
AdaBoost,0.5429447320541142,0.0864361246308877,0.9333333333333333,0.39038860127921915
GradientBoosting,0.5325904225446559,0.13181381280316,1.0,0.46740957745534406
DecisionTree,0.530480726110959,0.11456163044360759,0.7708333333333334,0.2403526072223744
KNN,0.5173585346766125,0.11788764610655955,0.7169811320754716,0.19962259739885913
GaussianNB,0.4048409002403349,0.19091337463891775,0.6722689075630253,0.26742800732269034
